site_no,state,lat,lon,huc2,site_value_id,state_value_id,x_value_id,y_value_id,huc2_value_id
01608500,WV,39.44703879,-78.6541817,2,figs1.station.01608500.site_id,figs1.station.01608500.state,figs1.station.01608500.longitude,figs1.station.01608500.latitude,figs1.station.01608500.huc2
02110701,SC,33.86100349,-79.0411471,3,figs1.station.02110701.site_id,figs1.station.02110701.state,figs1.station.02110701.longitude,figs1.station.02110701.latitude,figs1.station.02110701.huc2
02176930,GA,34.97452778,-83.1161667,3,figs1.station.02176930.site_id,figs1.station.02176930.state,figs1.station.02176930.longitude,figs1.station.02176930.latitude,figs1.station.02176930.huc2
02266300,FL,28.33278738,-81.579796,3,figs1.station.02266300.site_id,figs1.station.02266300.state,figs1.station.02266300.longitude,figs1.station.02266300.latitude,figs1.station.02266300.huc2
02330450,GA,34.7009722,-83.72925,3,figs1.station.02330450.site_id,figs1.station.02330450.state,figs1.station.02330450.longitude,figs1.station.02330450.latitude,figs1.station.02330450.huc2
02334430,GA,34.15666667,-84.0784167,3,figs1.station.02334430.site_id,figs1.station.02334430.state,figs1.station.02334430.longitude,figs1.station.02334430.latitude,figs1.station.02334430.huc2
02334885,GA,34.0325,-84.08888889,3,figs1.station.02334885.site_id,figs1.station.02334885.state,figs1.station.02334885.longitude,figs1.station.02334885.latitude,figs1.station.02334885.huc2
02336120,GA,33.83155556,-84.3427778,3,figs1.station.02336120.site_id,figs1.station.02336120.state,figs1.station.02336120.longitude,figs1.station.02336120.latitude,figs1.station.02336120.huc2
02336300,GA,33.82030556,-84.40763889,3,figs1.station.02336300.site_id,figs1.station.02336300.state,figs1.station.02336300.longitude,figs1.station.02336300.latitude,figs1.station.02336300.huc2
02336728,GA,33.74352778,-84.5681667,3,figs1.station.02336728.site_id,figs1.station.02336728.state,figs1.station.02336728.longitude,figs1.station.02336728.latitude,figs1.station.02336728.huc2
02397000,GA,34.2005,-85.25641667,3,figs1.station.02397000.site_id,figs1.station.02397000.state,figs1.station.02397000.longitude,figs1.station.02397000.latitude,figs1.station.02397000.huc2
02455980,AL,33.71121273,-86.6961013,3,figs1.station.02455980.site_id,figs1.station.02455980.state,figs1.station.02455980.longitude,figs1.station.02455980.latitude,figs1.station.02455980.huc2
02458450,AL,33.5176481,-86.87915889,3,figs1.station.02458450.site_id,figs1.station.02458450.state,figs1.station.02458450.longitude,figs1.station.02458450.latitude,figs1.station.02458450.huc2
02474560,MS,31.22166667,-89.0530556,3,figs1.station.02474560.site_id,figs1.station.02474560.state,figs1.station.02474560.longitude,figs1.station.02474560.latitude,figs1.station.02474560.huc2
03007800,PA,41.81867578,-78.29279129,5,figs1.station.03007800.site_id,figs1.station.03007800.state,figs1.station.03007800.longitude,figs1.station.03007800.latitude,figs1.station.03007800.huc2
03034000,PA,40.93923105,-79.00836738,5,figs1.station.03034000.site_id,figs1.station.03034000.state,figs1.station.03034000.longitude,figs1.station.03034000.latitude,figs1.station.03034000.huc2
03036000,PA,40.9275653,-79.2911508,5,figs1.station.03036000.site_id,figs1.station.03036000.state,figs1.station.03036000.longitude,figs1.station.03036000.latitude,figs1.station.03036000.huc2
03047000,PA,40.45888889,-79.4494444,5,figs1.station.03047000.site_id,figs1.station.03047000.state,figs1.station.03047000.longitude,figs1.station.03047000.latitude,figs1.station.03047000.huc2
03058000,WV,39.00452778,-80.4733611,5,figs1.station.03058000.site_id,figs1.station.03058000.state,figs1.station.03058000.longitude,figs1.station.03058000.latitude,figs1.station.03058000.huc2
03077500,PA,39.80535485,-79.3642019,5,figs1.station.03077500.site_id,figs1.station.03077500.state,figs1.station.03077500.longitude,figs1.station.03077500.latitude,figs1.station.03077500.huc2
03105500,PA,40.88867389,-80.3370083,5,figs1.station.03105500.site_id,figs1.station.03105500.state,figs1.station.03105500.longitude,figs1.station.03105500.latitude,figs1.station.03105500.huc2
03106000,PA,40.8170092,-80.2422837,5,figs1.station.03106000.site_id,figs1.station.03106000.state,figs1.station.03106000.longitude,figs1.station.03106000.latitude,figs1.station.03106000.huc2
03301900,KY,38.1756242,-85.615237,5,figs1.station.03301900.site_id,figs1.station.03301900.state,figs1.station.03301900.longitude,figs1.station.03301900.latitude,figs1.station.03301900.huc2
03353200,IN,39.94642217,-86.260249,5,figs1.station.03353200.site_id,figs1.station.03353200.state,figs1.station.03353200.longitude,figs1.station.03353200.latitude,figs1.station.03353200.huc2
03456991,NC,35.52194444,-82.8480556,6,figs1.station.03456991.site_id,figs1.station.03456991.state,figs1.station.03456991.longitude,figs1.station.03456991.latitude,figs1.station.03456991.huc2
03544970,GA,34.8836111,-83.7223056,6,figs1.station.03544970.site_id,figs1.station.03544970.state,figs1.station.03544970.longitude,figs1.station.03544970.latitude,figs1.station.03544970.huc2
04027000,WI,46.4866144,-90.696297,4,figs1.station.04027000.site_id,figs1.station.04027000.state,figs1.station.04027000.longitude,figs1.station.04027000.latitude,figs1.station.04027000.huc2
04043238,MI,46.78214818,-87.8776299,4,figs1.station.04043238.site_id,figs1.station.04043238.state,figs1.station.04043238.longitude,figs1.station.04043238.latitude,figs1.station.04043238.huc2
04043244,MI,46.7857589,-87.8523522,4,figs1.station.04043244.site_id,figs1.station.04043244.state,figs1.station.04043244.longitude,figs1.station.04043244.latitude,figs1.station.04043244.huc2
04067500,WI,45.3258333,-87.6633333,4,figs1.station.04067500.site_id,figs1.station.04067500.state,figs1.station.04067500.longitude,figs1.station.04067500.latitude,figs1.station.04067500.huc2
04077630,WI,44.8980311,-88.8442729,4,figs1.station.04077630.site_id,figs1.station.04077630.state,figs1.station.04077630.longitude,figs1.station.04077630.latitude,figs1.station.04077630.huc2
04124200,MI,44.3630596,-85.820905,4,figs1.station.04124200.site_id,figs1.station.04124200.state,figs1.station.04124200.longitude,figs1.station.04124200.latitude,figs1.station.04124200.huc2
04125460,MI,44.19334009,-85.7697863,4,figs1.station.04125460.site_id,figs1.station.04125460.state,figs1.station.04125460.longitude,figs1.station.04125460.latitude,figs1.station.04125460.huc2
04137005,MI,44.56084749,-83.802764,4,figs1.station.04137005.site_id,figs1.station.04137005.state,figs1.station.04137005.longitude,figs1.station.04137005.latitude,figs1.station.04137005.huc2
04176500,MI,41.9605671,-83.5309896,4,figs1.station.04176500.site_id,figs1.station.04176500.state,figs1.station.04176500.longitude,figs1.station.04176500.latitude,figs1.station.04176500.huc2
04208000,OH,41.39533087,-81.6298478,4,figs1.station.04208000.site_id,figs1.station.04208000.state,figs1.station.04208000.longitude,figs1.station.04208000.latitude,figs1.station.04208000.huc2
05054000,ND,46.861111,-96.783333,9,figs1.station.05054000.site_id,figs1.station.05054000.state,figs1.station.05054000.longitude,figs1.station.05054000.latitude,figs1.station.05054000.huc2
05057000,ND,47.432778,-98.027222,9,figs1.station.05057000.site_id,figs1.station.05057000.state,figs1.station.05057000.longitude,figs1.station.05057000.latitude,figs1.station.05057000.huc2
05289800,MN,44.91550278,-93.21293889,7,figs1.station.05289800.site_id,figs1.station.05289800.state,figs1.station.05289800.longitude,figs1.station.05289800.latitude,figs1.station.05289800.huc2
05331833,WI,46.1713687,-91.3293778,7,figs1.station.05331833.site_id,figs1.station.05331833.state,figs1.station.05331833.longitude,figs1.station.05331833.latitude,figs1.station.05331833.huc2
05370000,WI,44.85277778,-92.2383333,7,figs1.station.05370000.site_id,figs1.station.05370000.state,figs1.station.05370000.longitude,figs1.station.05370000.latitude,figs1.station.05370000.huc2
05382255,WI,43.99388889,-90.6572222,7,figs1.station.05382255.site_id,figs1.station.05382255.state,figs1.station.05382255.longitude,figs1.station.05382255.latitude,figs1.station.05382255.huc2
05382257,WI,44.00055556,-90.6811111,7,figs1.station.05382257.site_id,figs1.station.05382257.state,figs1.station.05382257.longitude,figs1.station.05382257.latitude,figs1.station.05382257.huc2
05406457,WI,43.1097222,-89.6408333,7,figs1.station.05406457.site_id,figs1.station.05406457.state,figs1.station.05406457.longitude,figs1.station.05406457.latitude,figs1.station.05406457.huc2
05458300,IA,42.7372222,-92.4700917,7,figs1.station.05458300.site_id,figs1.station.05458300.state,figs1.station.05458300.longitude,figs1.station.05458300.latitude,figs1.station.05458300.huc2
05517000,IN,41.30279685,-86.62053829,7,figs1.station.05517000.site_id,figs1.station.05517000.state,figs1.station.05517000.longitude,figs1.station.05517000.latitude,figs1.station.05517000.huc2
06036805,WY,44.4593333,-110.8222722,10,figs1.station.06036805.site_id,figs1.station.06036805.state,figs1.station.06036805.longitude,figs1.station.06036805.latitude,figs1.station.06036805.huc2
06036905,WY,44.6201833,-110.8635028,10,figs1.station.06036905.site_id,figs1.station.06036905.state,figs1.station.06036905.longitude,figs1.station.06036905.latitude,figs1.station.06036905.huc2
06036940,WY,44.732725,-110.7132528,10,figs1.station.06036940.site_id,figs1.station.06036940.state,figs1.station.06036940.longitude,figs1.station.06036940.latitude,figs1.station.06036940.huc2
06041000,MT,45.490231,-111.634506,10,figs1.station.06041000.site_id,figs1.station.06041000.state,figs1.station.06041000.longitude,figs1.station.06041000.latitude,figs1.station.06041000.huc2
06623800,WY,41.02356508,-106.8248049,10,figs1.station.06623800.site_id,figs1.station.06623800.state,figs1.station.06623800.longitude,figs1.station.06623800.latitude,figs1.station.06623800.huc2
06894000,MO,39.1005609,-94.3005038,10,figs1.station.06894000.site_id,figs1.station.06894000.state,figs1.station.06894000.longitude,figs1.station.06894000.latitude,figs1.station.06894000.huc2
06934500,MO,38.70980556,-91.4385,10,figs1.station.06934500.site_id,figs1.station.06934500.state,figs1.station.06934500.longitude,figs1.station.06934500.latitude,figs1.station.06934500.huc2
07106000,CO,38.6016647,-104.6702503,11,figs1.station.07106000.site_id,figs1.station.07106000.state,figs1.station.07106000.longitude,figs1.station.07106000.latitude,figs1.station.07106000.huc2
07178200,OK,36.2231514,-95.8194322,11,figs1.station.07178200.site_id,figs1.station.07178200.state,figs1.station.07178200.longitude,figs1.station.07178200.latitude,figs1.station.07178200.huc2
07194880,AR,36.2814592,-94.227997,11,figs1.station.07194880.site_id,figs1.station.07194880.state,figs1.station.07194880.longitude,figs1.station.07194880.latitude,figs1.station.07194880.huc2
07332622,TX,33.74416667,-95.9611111,11,figs1.station.07332622.site_id,figs1.station.07332622.state,figs1.station.07332622.longitude,figs1.station.07332622.latitude,figs1.station.07332622.huc2
08048000,TX,32.76096337,-97.3325167,12,figs1.station.08048000.site_id,figs1.station.08048000.state,figs1.station.08048000.longitude,figs1.station.08048000.latitude,figs1.station.08048000.huc2
08052700,TX,33.28344977,-96.8927805,12,figs1.station.08052700.site_id,figs1.station.08052700.state,figs1.station.08052700.longitude,figs1.station.08052700.latitude,figs1.station.08052700.huc2
08065350,TX,31.33851319,-95.6563407,12,figs1.station.08065350.site_id,figs1.station.08065350.state,figs1.station.08065350.longitude,figs1.station.08065350.latitude,figs1.station.08065350.huc2
08070200,TX,30.14523056,-95.1246139,12,figs1.station.08070200.site_id,figs1.station.08070200.state,figs1.station.08070200.longitude,figs1.station.08070200.latitude,figs1.station.08070200.huc2
08123850,TX,32.05374399,-100.762052,12,figs1.station.08123850.site_id,figs1.station.08123850.state,figs1.station.08123850.longitude,figs1.station.08123850.latitude,figs1.station.08123850.huc2
09136100,CO,38.78516667,-107.8334167,14,figs1.station.09136100.site_id,figs1.station.09136100.state,figs1.station.09136100.longitude,figs1.station.09136100.latitude,figs1.station.09136100.huc2
09144250,CO,38.75303944,-108.078403,14,figs1.station.09144250.site_id,figs1.station.09144250.state,figs1.station.09144250.longitude,figs1.station.09144250.latitude,figs1.station.09144250.huc2
09149500,CO,38.74194444,-108.08041667,14,figs1.station.09149500.site_id,figs1.station.09149500.state,figs1.station.09149500.longitude,figs1.station.09149500.latitude,figs1.station.09149500.huc2
09163500,CO,39.1327434,-109.02707585,14,figs1.station.09163500.site_id,figs1.station.09163500.state,figs1.station.09163500.longitude,figs1.station.09163500.latitude,figs1.station.09163500.huc2
09180000,UT,38.79720805,-109.1951142,14,figs1.station.09180000.site_id,figs1.station.09180000.state,figs1.station.09180000.longitude,figs1.station.09180000.latitude,figs1.station.09180000.huc2
09261000,UT,40.40871944,-109.23523611,14,figs1.station.09261000.site_id,figs1.station.09261000.state,figs1.station.09261000.longitude,figs1.station.09261000.latitude,figs1.station.09261000.huc2
09302000,UT,40.21027778,-109.7813889,14,figs1.station.09302000.site_id,figs1.station.09302000.state,figs1.station.09302000.longitude,figs1.station.09302000.latitude,figs1.station.09302000.huc2
09380000,AZ,36.86433333,-111.58787222,14,figs1.station.09380000.site_id,figs1.station.09380000.state,figs1.station.09380000.longitude,figs1.station.09380000.latitude,figs1.station.09380000.huc2
10129900,UT,40.73522634,-111.4760313,16,figs1.station.10129900.site_id,figs1.station.10129900.state,figs1.station.10129900.longitude,figs1.station.10129900.latitude,figs1.station.10129900.huc2
10301500,NV,39.1524611,-119.0988889,16,figs1.station.10301500.site_id,figs1.station.10301500.state,figs1.station.10301500.longitude,figs1.station.10301500.latitude,figs1.station.10301500.huc2
10351600,NV,39.58463448,-119.4412872,16,figs1.station.10351600.site_id,figs1.station.10351600.state,figs1.station.10351600.longitude,figs1.station.10351600.latitude,figs1.station.10351600.huc2
11262900,CA,37.26241267,-120.9065536,18,figs1.station.11262900.site_id,figs1.station.11262900.state,figs1.station.11262900.longitude,figs1.station.11262900.latitude,figs1.station.11262900.huc2
11467000,CA,38.50848204,-122.9277345,18,figs1.station.11467000.site_id,figs1.station.11467000.state,figs1.station.11467000.longitude,figs1.station.11467000.latitude,figs1.station.11467000.huc2
11507500,OR,42.22347795,-121.7941708,18,figs1.station.11507500.site_id,figs1.station.11507500.state,figs1.station.11507500.longitude,figs1.station.11507500.latitude,figs1.station.11507500.huc2
12056500,WA,47.51425666,-123.3298868,17,figs1.station.12056500.site_id,figs1.station.12056500.state,figs1.station.12056500.longitude,figs1.station.12056500.latitude,figs1.station.12056500.huc2
12115000,WA,47.3701073,-121.6251009,17,figs1.station.12115000.site_id,figs1.station.12115000.state,figs1.station.12115000.longitude,figs1.station.12115000.latitude,figs1.station.12115000.huc2
12117600,WA,47.3795458,-121.983448,17,figs1.station.12117600.site_id,figs1.station.12117600.state,figs1.station.12117600.longitude,figs1.station.12117600.latitude,figs1.station.12117600.huc2
12210700,WA,48.84174,-122.2943049,17,figs1.station.12210700.site_id,figs1.station.12210700.state,figs1.station.12210700.longitude,figs1.station.12210700.latitude,figs1.station.12210700.huc2
12212050,WA,48.9386827,-122.4790353,17,figs1.station.12212050.site_id,figs1.station.12212050.state,figs1.station.12212050.longitude,figs1.station.12212050.latitude,figs1.station.12212050.huc2
12213100,WA,48.84479237,-122.5893141,17,figs1.station.12213100.site_id,figs1.station.12213100.state,figs1.station.12213100.longitude,figs1.station.12213100.latitude,figs1.station.12213100.huc2
12363000,MT,48.3618111,-114.18495,17,figs1.station.12363000.site_id,figs1.station.12363000.state,figs1.station.12363000.longitude,figs1.station.12363000.latitude,figs1.station.12363000.huc2
12398600,WA,48.99881409,-117.3535794,17,figs1.station.12398600.site_id,figs1.station.12398600.state,figs1.station.12398600.longitude,figs1.station.12398600.latitude,figs1.station.12398600.huc2
13018350,WY,43.4583611,-110.7970278,17,figs1.station.13018350.site_id,figs1.station.13018350.state,figs1.station.13018350.longitude,figs1.station.13018350.latitude,figs1.station.13018350.huc2
13154500,ID,43.0022222,-115.2025,17,figs1.station.13154500.site_id,figs1.station.13154500.state,figs1.station.13154500.longitude,figs1.station.13154500.latitude,figs1.station.13154500.huc2
13317660,ID,46.00305556,-116.9169444,17,figs1.station.13317660.site_id,figs1.station.13317660.state,figs1.station.13317660.longitude,figs1.station.13317660.latitude,figs1.station.13317660.huc2
13342500,ID,46.4483333,-116.8275,17,figs1.station.13342500.site_id,figs1.station.13342500.state,figs1.station.13342500.longitude,figs1.station.13342500.latitude,figs1.station.13342500.huc2
14091500,OR,44.6262275,-121.4839433,17,figs1.station.14091500.site_id,figs1.station.14091500.state,figs1.station.14091500.longitude,figs1.station.14091500.latitude,figs1.station.14091500.huc2
14150800,OR,43.9142924,-122.6886762,17,figs1.station.14150800.site_id,figs1.station.14150800.state,figs1.station.14150800.longitude,figs1.station.14150800.latitude,figs1.station.14150800.huc2
14151000,OR,43.94429299,-122.774794,17,figs1.station.14151000.site_id,figs1.station.14151000.state,figs1.station.14151000.longitude,figs1.station.14151000.latitude,figs1.station.14151000.huc2
14152000,OR,43.99818166,-122.9059126,17,figs1.station.14152000.site_id,figs1.station.14152000.state,figs1.station.14152000.longitude,figs1.station.14152000.latitude,figs1.station.14152000.huc2
14153500,OR,43.72067785,-123.0497994,17,figs1.station.14153500.site_id,figs1.station.14153500.state,figs1.station.14153500.longitude,figs1.station.14153500.latitude,figs1.station.14153500.huc2
14154500,OR,43.73527778,-122.8744444,17,figs1.station.14154500.site_id,figs1.station.14154500.state,figs1.station.14154500.longitude,figs1.station.14154500.latitude,figs1.station.14154500.huc2
14159500,OR,44.13595817,-122.248391,17,figs1.station.14159500.site_id,figs1.station.14159500.state,figs1.station.14159500.longitude,figs1.station.14159500.latitude,figs1.station.14159500.huc2
14161500,OR,44.2095708,-122.256733,17,figs1.station.14161500.site_id,figs1.station.14161500.state,figs1.station.14161500.longitude,figs1.station.14161500.latitude,figs1.station.14161500.huc2
14179000,OR,44.75262179,-122.1289648,17,figs1.station.14179000.site_id,figs1.station.14179000.state,figs1.station.14179000.longitude,figs1.station.14179000.latitude,figs1.station.14179000.huc2
14185000,OR,44.39179225,-122.4975817,17,figs1.station.14185000.site_id,figs1.station.14185000.state,figs1.station.14185000.longitude,figs1.station.14185000.latitude,figs1.station.14185000.huc2
14210000,OR,45.29984346,-122.3539746,17,figs1.station.14210000.site_id,figs1.station.14210000.state,figs1.station.14210000.longitude,figs1.station.14210000.latitude,figs1.station.14210000.huc2
14211499,OR,45.4767869,-122.4984239,17,figs1.station.14211499.site_id,figs1.station.14211499.state,figs1.station.14211499.longitude,figs1.station.14211499.latitude,figs1.station.14211499.huc2
14211500,OR,45.47745556,-122.5080194,17,figs1.station.14211500.site_id,figs1.station.14211500.state,figs1.station.14211500.longitude,figs1.station.14211500.latitude,figs1.station.14211500.huc2
14320934,OR,43.43122665,-123.5867573,17,figs1.station.14320934.site_id,figs1.station.14320934.state,figs1.station.14320934.longitude,figs1.station.14320934.latitude,figs1.station.14320934.huc2
255534081324000,FL,25.926,-81.5443056,3,figs1.station.255534081324000.site_id,figs1.station.255534081324000.state,figs1.station.255534081324000.longitude,figs1.station.255534081324000.latitude,figs1.station.255534081324000.huc2
