site,site_id,ok,wtemp_cov,flow_cov,wtemp_cov_test,flow_cov_test,wlevel_cov,n_days,station_nm,lat,lon,state
02474560,n23,True,0.6,0.999,0.837,1.0,0.989,5479,"LEAF RIVER NR NEW AUGUSTA, MS",31.22166667,-89.0530556,MS
02336300,n24,True,0.974,1.0,0.996,1.0,0.991,5479,"PEACHTREE CREEK AT ATLANTA, GA",33.82030556,-84.40763889,GA
04027000,n25,True,0.613,1.0,0.971,1.0,0.0,5479,"BAD RIVER NEAR ODANAH, WI",46.4866144,-90.696297,WI
14151000,n26,True,0.987,1.0,1.0,1.0,0.0,5479,"FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR",43.94429299,-122.774794,OR
01540500,n27,True,0.62,1.0,0.969,1.0,0.0,5479,"Susquehanna River at Danville, PA",40.95814218,-76.6191222,PA
02330450,n28,True,0.955,1.0,0.836,1.0,0.962,5479,"CHATTAHOOCHEE RIVER AT HELEN, GA",34.7009722,-83.72925,GA
08070200,n29,True,0.989,0.981,0.938,1.0,0.974,5479,"E Fk San Jacinto Rv nr New Caney, TX",30.14523056,-95.1246139,TX
03301900,n30,True,0.623,1.0,0.956,1.0,0.0,5479,"FERN CREEK AT OLD BARDSTOWN RD AT LOUISVILLE, KY",38.1756242,-85.615237,KY
10351600,n31,True,0.845,1.0,1.0,1.0,0.0,5479,"TRUCKEE RV BLW DERBY DAM NR WADSWORTH, NV",39.58463448,-119.4412872,NV
12117600,n32,True,0.994,1.0,1.0,1.0,0.995,5479,"CEDAR RIVER BELOW DIVERSION NEAR LANDSBURG, WA",47.3795458,-121.983448,WA
04043238,n33,True,0.976,1.0,0.996,1.0,0.0,5479,"SALMON TROUT RIVER NEAR BIG BAY, MI",46.78214818,-87.8776299,MI
05057000,n34,True,0.982,1.0,0.979,1.0,0.965,5479,"SHEYENNE RIVER NEAR COOPERSTOWN, ND",47.432778,-98.027222,ND
01104455,n35,True,0.982,1.0,0.997,1.0,0.0,5479,"STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA",42.37259606,-71.27033448,MA
14211499,n36,True,0.966,1.0,0.997,1.0,0.0,5479,"KELLEY CREEK AT SE 159TH DRIVE AT PORTLAND, OR",45.4767869,-122.4984239,OR
12115000,n37,True,0.922,1.0,0.975,1.0,0.375,5479,"CEDAR RIVER NEAR CEDAR FALLS, WA",47.3701073,-121.6251009,WA
14153500,n38,True,0.997,1.0,0.992,1.0,0.0,5479,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",43.72067785,-123.0497994,OR
01463500,n39,True,0.957,1.0,0.97,1.0,0.0,5479,Delaware River at Trenton NJ,40.22166667,-74.77805556,NJ
04077630,n40,True,0.991,1.0,1.0,1.0,0.0,5479,"RED RIVER AT MORGAN ROAD NEAR MORGAN, WI",44.8980311,-88.8442729,WI
01435000,n41,True,0.588,1.0,0.995,1.0,0.0,5479,NEVERSINK RIVER NEAR CLARYVILLE NY,41.88994444,-74.5898056,NY
04137005,n42,True,0.988,1.0,0.995,1.0,0.0,5479,"AU SABLE RIVER NEAR CURTISVILLE, MI",44.56084749,-83.802764,MI
13018350,n43,True,0.707,1.0,0.964,1.0,0.0,5479,"FLAT CREEK BELOW CACHE CREEK, NEAR JACKSON, WY",43.4583611,-110.7970278,WY
03034000,n44,True,0.637,1.0,0.969,1.0,0.0,5479,"Mahoning Creek at Punxsutawney, PA",40.93923105,-79.00836738,PA
06894000,n45,True,0.987,1.0,0.985,1.0,0.0,5479,"Little Blue River near Lake City, MO",39.1005609,-94.3005038,MO
