site_no,legacy_site_id,ok,wtemp_cov,flow_cov,wtemp_cov_test,flow_cov_test,wlevel_cov,n_days,station_nm,lat,lon,state,huc_cd,huc2,drain_area_va,huc_metadata_status
03105500,n76,True,0.687,1.0,0.995,1.0,0.0,5479,"Beaver River at Wampum, PA",40.88867389,-80.3370083,PA,5030104,5,2235,USGS_SNAPSHOT_SITE_NO_MATCH
03106000,n61,True,0.655,1.0,0.99,1.0,0.0,5479,"Connoquenessing Creek near Zelienople, PA",40.8170092,-80.2422837,PA,5030105,5,356,USGS_SNAPSHOT_SITE_NO_MATCH
03301900,n30,True,0.623,1.0,0.956,1.0,0.0,5479,"FERN CREEK AT OLD BARDSTOWN RD AT LOUISVILLE, KY",38.1756242,-85.615237,KY,5140102,5,3.5,USGS_SNAPSHOT_SITE_NO_MATCH
03353200,n69,True,0.672,0.999,0.997,1.0,0.0,5479,"EAGLE CREEK AT ZIONSVILLE, IN",39.94642217,-86.260249,IN,5120201,5,106,USGS_SNAPSHOT_SITE_NO_MATCH
03456991,n52,True,0.561,1.0,1.0,1.0,0.995,5479,"PIGEON RIVER NEAR CANTON, NC",35.52194444,-82.8480556,NC,6010106,6,130,USGS_SNAPSHOT_SITE_NO_MATCH
03544970,n114,True,0.592,0.888,0.871,1.0,0.883,5479,"HIWASSEE RIVER AT RIVERSIDE DR, NR HIAWASSEE, GA",34.8836111,-83.7223056,GA,6020002,6,39.5,USGS_SNAPSHOT_SITE_NO_MATCH
04027000,n25,True,0.613,1.0,0.971,1.0,0.0,5479,"BAD RIVER NEAR ODANAH, WI",46.4866144,-90.696297,WI,4010302,4,597,USGS_SNAPSHOT_SITE_NO_MATCH
04043238,n33,True,0.976,1.0,0.996,1.0,0.0,5479,"SALMON TROUT RIVER NEAR BIG BAY, MI",46.78214818,-87.8776299,MI,4020105,4,6.74,USGS_SNAPSHOT_SITE_NO_MATCH
04043244,n108,True,0.987,1.0,1.0,1.0,0.0,5479,"EAST BRANCH SALMON TROUT RIVER NEAR DODGE CITY, MI",46.7857589,-87.8523522,MI,4020105,4,10.2,USGS_SNAPSHOT_SITE_NO_MATCH
04067500,n107,True,0.634,1.0,0.969,1.0,0.0,5479,"MENOMINEE RIVER NEAR MC ALLISTER, WI",45.3258333,-87.6633333,WI,4030108,4,3930,USGS_SNAPSHOT_SITE_NO_MATCH
04077630,n40,True,0.991,1.0,1.0,1.0,0.0,5479,"RED RIVER AT MORGAN ROAD NEAR MORGAN, WI",44.8980311,-88.8442729,WI,4030202,4,114,USGS_SNAPSHOT_SITE_NO_MATCH
04124200,n106,True,0.992,1.0,1.0,1.0,0.0,5479,"MANISTEE RIVER NEAR MESICK, MI",44.3630596,-85.820905,MI,4060103,4,1018,USGS_SNAPSHOT_SITE_NO_MATCH
04125460,n19,True,0.985,1.0,0.967,1.0,0.0,5479,"PINE RIVER AT HIGH SCHOOL BRIDGE NR HOXEYVILLE, MI",44.19334009,-85.7697863,MI,4060103,4,245,USGS_SNAPSHOT_SITE_NO_MATCH
04137005,n42,True,0.988,1.0,0.995,1.0,0.0,5479,"AU SABLE RIVER NEAR CURTISVILLE, MI",44.56084749,-83.802764,MI,4070007,4,1598,USGS_SNAPSHOT_SITE_NO_MATCH
04176500,n115,True,0.642,1.0,1.0,1.0,0.0,5479,"RIVER RAISIN NEAR MONROE, MI",41.9605671,-83.5309896,MI,4100002,4,1042,USGS_SNAPSHOT_SITE_NO_MATCH
04208000,n50,True,0.566,1.0,0.877,1.0,0.0,5479,Cuyahoga River at Independence OH,41.39533087,-81.6298478,OH,4110002,4,707,USGS_SNAPSHOT_SITE_NO_MATCH
05054000,n16,True,0.954,1.0,0.94,1.0,0.99,5479,"RED RIVER OF THE NORTH AT FARGO, ND",46.861111,-96.783333,ND,90201040504,9,6800.0,USGS_SNAPSHOT_SITE_NO_MATCH
05057000,n34,True,0.982,1.0,0.979,1.0,0.965,5479,"SHEYENNE RIVER NEAR COOPERSTOWN, ND",47.432778,-98.027222,ND,90202030505,9,2810.0,USGS_SNAPSHOT_SITE_NO_MATCH
05289800,n84,True,0.565,0.998,0.956,0.989,0.0,5479,"MINNEHAHA CREEK AT HIAWATHA AVE. IN MINNEAPOLIS,MN",44.91550278,-93.21293889,MN,70102060605,7,176.0,USGS_SNAPSHOT_SITE_NO_MATCH
05331833,n64,True,0.854,1.0,0.985,1.0,0.0,5479,"NAMEKAGON RIVER AT LEONARDS, WI",46.1713687,-91.3293778,WI,7030002,7,126,USGS_SNAPSHOT_SITE_NO_MATCH
05370000,n66,True,0.614,1.0,1.0,1.0,0.0,5479,"EAU GALLE RIVER AT SPRING VALLEY, WI",44.85277778,-92.2383333,WI,7050005,7,64,USGS_SNAPSHOT_SITE_NO_MATCH
05382255,n65,True,0.781,0.819,0.967,1.0,0.0,5479,"STILLWELL CREEK AT SIXTEENTH COURT NEAR TOMAH, WI",43.99388889,-90.6572222,WI,7040006,7,4.1,USGS_SNAPSHOT_SITE_NO_MATCH
05382257,n60,True,0.805,0.819,1.0,1.0,0.0,5479,"STILLWELL CREEK AT YARD ROAD NEAR TOMAH, WI",44.00055556,-90.6811111,WI,7040006,7,5.1,USGS_SNAPSHOT_SITE_NO_MATCH
05406457,n104,True,0.738,0.75,0.959,1.0,0.0,5479,"BLACK EARTH CREEK NR BREWERY RD AT CROSS PLAINS,WI",43.1097222,-89.6408333,WI,7070005,7,11.4,USGS_SNAPSHOT_SITE_NO_MATCH
05458300,n105,True,0.567,1.0,0.803,1.0,0.0,5479,"Cedar River at Waverly, IA",42.7372222,-92.4700917,IA,7080201,7,1547,USGS_SNAPSHOT_SITE_NO_MATCH
05517000,n83,True,0.568,1.0,0.967,1.0,0.0,5479,"YELLOW RIVER AT KNOX, IN",41.30279685,-86.62053829,IN,7120001,7,435,USGS_SNAPSHOT_SITE_NO_MATCH
06036805,n100,True,0.943,0.95,1.0,1.0,0.0,5479,"Firehole River at Old Faithful, YNP",44.4593333,-110.8222722,WY,10020007,10,39.5,USGS_SNAPSHOT_SITE_NO_MATCH
06036905,n85,True,1.0,1.0,1.0,1.0,0.0,5479,Firehole River near West Yellowstone MT,44.6201833,-110.8635028,WY,10020007,10,261,USGS_SNAPSHOT_SITE_NO_MATCH
06036940,n118,True,0.969,1.0,0.9,1.0,0.0,5479,"Tantalus Creek at Norris Junction, YNP",44.732725,-110.7132528,WY,10020007,10,1.10,USGS_SNAPSHOT_SITE_NO_MATCH
06041000,n117,True,0.989,1.0,1.0,1.0,0.0,5479,Madison River bl Ennis Lake nr McAllister MT,45.490231,-111.634506,MT,100200071501,10,2212.9,USGS_SNAPSHOT_SITE_NO_MATCH
06623800,n51,True,0.568,1.0,0.964,1.0,0.0,5479,"ENCAMPMENT RIVER AB HOG PARK CR, NR ENCAMPMENT, WY",41.02356508,-106.8248049,WY,10180002,10,72.7,USGS_SNAPSHOT_SITE_NO_MATCH
06894000,n45,True,0.987,1.0,0.985,1.0,0.0,5479,"Little Blue River near Lake City, MO",39.1005609,-94.3005038,MO,10300101,10,184,USGS_SNAPSHOT_SITE_NO_MATCH
06934500,n77,True,0.859,1.0,0.982,1.0,0.0,5479,"Missouri River at Hermann, MO",38.70980556,-91.4385,MO,10300200,10,522500,USGS_SNAPSHOT_SITE_NO_MATCH
07106000,n02,True,0.862,1.0,0.841,1.0,0.0,5479,"FOUNTAIN CREEK NEAR FOUNTAIN, CO.",38.6016647,-104.6702503,CO,11020003,11,672,USGS_SNAPSHOT_SITE_NO_MATCH
07178200,n03,True,0.909,1.0,0.984,1.0,0.0,5479,"Bird Ck at State Highway 266 near Catoosa, OK",36.2231514,-95.8194322,OK,11070107,11,1123,USGS_SNAPSHOT_SITE_NO_MATCH
07194880,n89,True,0.603,0.826,0.993,1.0,0.0,5479,"Osage Creek near Cave Springs, AR",36.2814592,-94.227997,AR,11110103,11,34.7,USGS_SNAPSHOT_SITE_NO_MATCH
07332622,n18,True,0.68,0.772,0.978,1.0,0.761,5479,"Bois D'Arc Ck at FM 409 nr Honey Grove, TX",33.74416667,-95.9611111,TX,11140101,11,370,USGS_SNAPSHOT_SITE_NO_MATCH
08048000,n79,True,0.664,1.0,0.93,1.0,0.995,5479,"W Fk Trinity Rv at Ft Worth, TX",32.76096337,-97.3325167,TX,12030102,12,2615,USGS_SNAPSHOT_SITE_NO_MATCH
08052700,n04,True,0.666,1.0,0.953,1.0,0.998,5479,"Little Elm Ck nr Aubrey, TX",33.28344977,-96.8927805,TX,12030103,12,75.5,USGS_SNAPSHOT_SITE_NO_MATCH
08065350,n10,True,0.932,1.0,0.889,1.0,0.977,5479,"Trinity Rv nr Crockett, TX",31.33851319,-95.6563407,TX,12030201,12,13911,USGS_SNAPSHOT_SITE_NO_MATCH
08070200,n29,True,0.989,0.981,0.938,1.0,0.974,5479,"E Fk San Jacinto Rv nr New Caney, TX",30.14523056,-95.1246139,TX,12040103,12,388,USGS_SNAPSHOT_SITE_NO_MATCH
08123850,n74,True,0.788,1.0,0.951,1.0,0.987,5479,"Colorado Rv abv Silver, TX",32.05374399,-100.762052,TX,12080008,12,14910,USGS_SNAPSHOT_SITE_NO_MATCH
09136100,n05,True,0.774,0.781,1.0,1.0,0.0,5479,"NORTH FK GUNNISON RIVER ABOVE MOUTH NR LAZEAR, CO",38.78516667,-107.8334167,CO,14020004,14,969,USGS_SNAPSHOT_SITE_NO_MATCH
09144250,n15,True,0.762,1.0,0.985,1.0,0.0,5479,"GUNNISON RIVER AT DELTA, CO",38.75303944,-108.078403,CO,14020005,14,5636,USGS_SNAPSHOT_SITE_NO_MATCH
09149500,n49,True,0.763,1.0,0.997,1.0,0.0,5479,"UNCOMPAHGRE RIVER AT DELTA, CO",38.74194444,-108.08041667,CO,140200060606,14,1114.0,USGS_SNAPSHOT_SITE_NO_MATCH
09163500,n101,True,0.986,1.0,1.0,1.0,0.0,5479,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,39.1327434,-109.02707585,CO,140100051906,14,17849.0,USGS_SNAPSHOT_SITE_NO_MATCH
09180000,n46,True,0.947,1.0,0.989,1.0,0.0,5479,"DOLORES RIVER NEAR CISCO, UT",38.79720805,-109.1951142,UT,14030004,14,4580,USGS_SNAPSHOT_SITE_NO_MATCH
09261000,n70,True,0.968,1.0,0.997,1.0,0.0,5479,"GREEN RIVER NEAR JENSEN, UT",40.40871944,-109.23523611,UT,14040106,14,29660.0,USGS_SNAPSHOT_SITE_NO_MATCH
09302000,n93,True,0.985,1.0,0.995,1.0,0.0,5479,"DUCHESNE RIVER NEAR RANDLETT, UT",40.21027778,-109.7813889,UT,14060003,14,3790,USGS_SNAPSHOT_SITE_NO_MATCH
09380000,n68,True,0.993,1.0,1.0,1.0,0.0,5479,"COLORADO RIVER AT LEES FERRY, AZ",36.86433333,-111.58787222,AZ,140700061105,14,111800.0,USGS_SNAPSHOT_SITE_NO_MATCH
10129900,n102,True,0.995,1.0,1.0,1.0,0.0,5479,"SILVER CREEK NEAR SILVER CREEK JUNCTION, UT",40.73522634,-111.4760313,UT,16020101,16,17.4,USGS_SNAPSHOT_SITE_NO_MATCH
10301500,n95,True,0.957,1.0,1.0,1.0,0.0,5479,"WALKER RV NR WABUSKA, NV",39.1524611,-119.0988889,NV,16050303,16,2600,USGS_SNAPSHOT_SITE_NO_MATCH
10351600,n31,True,0.845,1.0,1.0,1.0,0.0,5479,"TRUCKEE RV BLW DERBY DAM NR WADSWORTH, NV",39.58463448,-119.4412872,NV,16050102,16,1676,USGS_SNAPSHOT_SITE_NO_MATCH
11262900,n112,True,0.862,1.0,0.988,1.0,0.0,5479,MUD SLOUGH NR GUSTINE CA,37.26241267,-120.9065536,CA,18040001,18,,USGS_SNAPSHOT_SITE_NO_MATCH
11467000,n58,True,0.577,1.0,0.997,1.0,0.0,5479,RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA,38.50848204,-122.9277345,CA,18010110,18,1338,USGS_SNAPSHOT_SITE_NO_MATCH
11507500,n11,True,0.985,1.0,0.993,1.0,0.0,5479,"LINK RIVER AT KLAMATH FALLS, OR",42.22347795,-121.7941708,OR,18010204,18,3810,USGS_SNAPSHOT_SITE_NO_MATCH
12056500,n09,True,0.62,1.0,0.986,1.0,0.999,5479,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",47.51425666,-123.3298868,WA,17110017,17,57.2,USGS_SNAPSHOT_SITE_NO_MATCH
12115000,n37,True,0.922,1.0,0.975,1.0,0.375,5479,"CEDAR RIVER NEAR CEDAR FALLS, WA",47.3701073,-121.6251009,WA,17110012,17,40.7,USGS_SNAPSHOT_SITE_NO_MATCH
12117600,n32,True,0.994,1.0,1.0,1.0,0.995,5479,"CEDAR RIVER BELOW DIVERSION NEAR LANDSBURG, WA",47.3795458,-121.983448,WA,17110012,17,134,USGS_SNAPSHOT_SITE_NO_MATCH
12210700,n14,True,0.835,1.0,1.0,1.0,0.999,5479,"NOOKSACK RIVER AT NORTH CEDARVILLE, WA",48.84174,-122.2943049,WA,17110004,17,589,USGS_SNAPSHOT_SITE_NO_MATCH
12212050,n72,True,0.786,1.0,0.997,1.0,0.968,5479,"FISHTRAP CREEK AT FRONT STREET AT LYNDEN, WA",48.9386827,-122.4790353,WA,17110004,17,37.8,USGS_SNAPSHOT_SITE_NO_MATCH
12213100,n67,True,0.867,1.0,1.0,1.0,0.994,5479,"NOOKSACK RIVER AT FERNDALE, WA",48.84479237,-122.5893141,WA,17110004,17,786,USGS_SNAPSHOT_SITE_NO_MATCH
12363000,n62,True,0.995,1.0,1.0,1.0,0.0,5479,Flathead River at Columbia Falls MT,48.3618111,-114.18495,MT,17010208,17,4473,USGS_SNAPSHOT_SITE_NO_MATCH
12398600,n17,True,0.937,1.0,0.922,1.0,0.0,5479,PEND OREILLE RIVER AT INTERNATIONAL BOUNDARY,48.99881409,-117.3535794,WA,17010216,17,25200,USGS_SNAPSHOT_SITE_NO_MATCH
13018350,n43,True,0.707,1.0,0.964,1.0,0.0,5479,"FLAT CREEK BELOW CACHE CREEK, NEAR JACKSON, WY",43.4583611,-110.7970278,WY,17040103,17,129,USGS_SNAPSHOT_SITE_NO_MATCH
13154500,n87,True,0.995,1.0,1.0,1.0,0.0,5479,SNAKE RIVER AT KING HILL ID,43.0022222,-115.2025,ID,17050101,17,35800,USGS_SNAPSHOT_SITE_NO_MATCH
13317660,n54,True,1.0,1.0,1.0,1.0,0.0,5479,SNAKE RIVER AT McDUFF RAPIDS AT CHINA GARDEN ID,46.00305556,-116.9169444,ID,17060103,17,,USGS_SNAPSHOT_SITE_NO_MATCH
13342500,n06,True,0.993,1.0,1.0,1.0,0.0,5479,CLEARWATER RIVER AT SPALDING ID,46.4483333,-116.8275,ID,17060306,17,9283,USGS_SNAPSHOT_SITE_NO_MATCH
14091500,n86,True,0.999,1.0,1.0,1.0,0.0,5479,"METOLIUS RIVER NEAR GRANDVIEW, OR",44.6262275,-121.4839433,OR,17070301,17,316,USGS_SNAPSHOT_SITE_NO_MATCH
14150800,n48,True,0.803,1.0,1.0,1.0,0.0,5479,"WINBERRY CREEK NEAR LOWELL,OR",43.9142924,-122.6886762,OR,17090001,17,43.9,USGS_SNAPSHOT_SITE_NO_MATCH
14151000,n26,True,0.987,1.0,1.0,1.0,0.0,5479,"FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR",43.94429299,-122.774794,OR,17090001,17,186,USGS_SNAPSHOT_SITE_NO_MATCH
14152000,n13,True,0.99,1.0,1.0,1.0,0.0,5479,"MIDDLE FORK WILLAMETTE RIVER AT JASPER, OR",43.99818166,-122.9059126,OR,17090001,17,1340,USGS_SNAPSHOT_SITE_NO_MATCH
14153500,n38,True,0.997,1.0,0.992,1.0,0.0,5479,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",43.72067785,-123.0497994,OR,17090002,17,104,USGS_SNAPSHOT_SITE_NO_MATCH
14154500,n103,True,0.722,1.0,1.0,1.0,0.0,5479,"ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR",43.73527778,-122.8744444,OR,17090002,17,211,USGS_SNAPSHOT_SITE_NO_MATCH
14159500,n01,True,0.999,1.0,1.0,1.0,0.0,5479,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",44.13595817,-122.248391,OR,17090004,17,208,USGS_SNAPSHOT_SITE_NO_MATCH
14161500,n00,True,0.581,1.0,1.0,1.0,0.0,5479,"LOOKOUT CREEK NEAR BLUE RIVER, OR",44.2095708,-122.256733,OR,17090004,17,24.1,USGS_SNAPSHOT_SITE_NO_MATCH
14179000,n81,True,0.989,1.0,0.999,1.0,0.0,5479,"BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.",44.75262179,-122.1289648,OR,17090005,17,108,USGS_SNAPSHOT_SITE_NO_MATCH
14185000,n94,True,0.811,1.0,1.0,1.0,0.0,5479,"SOUTH SANTIAM RIVER BELOW CASCADIA, OR",44.39179225,-122.4975817,OR,17090006,17,174,USGS_SNAPSHOT_SITE_NO_MATCH
14210000,n113,True,0.954,1.0,0.993,1.0,0.0,5479,"CLACKAMAS RIVER AT ESTACADA, OR",45.29984346,-122.3539746,OR,17090011,17,671,USGS_SNAPSHOT_SITE_NO_MATCH
14211499,n36,True,0.966,1.0,0.997,1.0,0.0,5479,"KELLEY CREEK AT SE 159TH DRIVE AT PORTLAND, OR",45.4767869,-122.4984239,OR,17090012,17,4.69,USGS_SNAPSHOT_SITE_NO_MATCH
14211500,n59,True,0.999,1.0,1.0,1.0,0.0,5479,"JOHNSON CREEK AT SYCAMORE, OR",45.47745556,-122.5080194,OR,17090012,17,26.8,USGS_SNAPSHOT_SITE_NO_MATCH
14320934,n22,True,0.866,0.889,0.943,1.0,0.0,5479,"LITTLE WOLF CREEK NEAR TYEE, OR",43.43122665,-123.5867573,OR,17100303,17,9.05,USGS_SNAPSHOT_SITE_NO_MATCH
255534081324000,n97,True,0.788,0.78,0.992,0.974,0.0,5479,"PUMPKIN RIVER NEAR GOODLAND, FL",25.926,-81.5443056,FL,3090204,3,,USGS_SNAPSHOT_SITE_NO_MATCH
