model,scope,feature_set,site_id,horizon,split,n_seeds,n_obs,BIAS,BIAS_std,KGE,KGE_std,MAE,MAE_std,NSE,NSE_std,PBIAS,PBIAS_std,R2,R2_std,RMSE,RMSE_std,SKILL_RMSE,SKILL_RMSE_std,CRPS,CRPS_std,EVT_AUPRC,EVT_AUPRC_std,EVT_AUROC,EVT_AUROC_std,EVT_BASE_RATE,EVT_BASE_RATE_std,EVT_BRIER,EVT_BRIER_std,EVT_BRIER_SKILL,EVT_BRIER_SKILL_std,MPIW,MPIW_std,PICP,PICP_std,PINBALL,PINBALL_std,WINKLER,WINKLER_std
LightGBM,per_station,V3,b1,7,calib,1,365,-0.3229755856919631,0.0,0.9521163774596271,0.0,0.6514073751429559,0.0,0.974813987336104,0.0,-3.266990599090082,0.0,0.974813987336104,0.0,0.8322301250025784,0.0,0.2608691260487933,0.0,0.34764300681097754,0.0,0.5899078656421705,0.0,0.9479178885630499,0.0,0.1506849315068493,0.0,0.0903886832861514,0.0,0.2937224439470131,0.0,2.8368978182789113,0.0,0.9068493150684932,0.0,0.17382150340548877,0.0,3.3940908013867706,0.0
LightGBM,per_station,V3,b1,7,test,1,724,-0.3793219399422971,0.0,0.9514799532738056,0.0,0.7749977908041941,0.0,0.9605632650086391,0.0,-3.8502822846639155,0.0,0.9605632650086391,0.0,1.0278320129024061,0.0,0.14055009939349827,0.0,0.3825220408055286,0.0,0.4554575327973531,0.0,0.9089711261046367,0.0,0.0925414364640884,0.0,0.0658218687718196,0.0,0.2161965541033085,0.0,3.009452890813691,0.0,0.9171270718232044,0.0,0.1912610204027643,0.0,3.7929818759436924,0.0
LightGBM,per_station,V3,b1,7,val,1,731,-0.32341466660343965,0.0,0.9595475682506035,0.0,0.7008449395214406,0.0,0.9697276661392487,0.0,-3.2637931593008216,0.0,0.9697276661392487,0.0,0.8976752723504249,0.0,0.25145711976267415,0.0,0.3600980800410291,0.0,0.705912058198132,0.0,0.9594963721724286,0.0,0.09712722298221614,0.0,0.04899126629812994,0.0,0.44133542360144074,0.0,2.83450638332897,0.0,0.8919288645690835,0.0,0.18004904002051456,0.0,3.62041473304455,0.0
LightGBM,per_station,V3,p3,1,calib,1,365,-0.024623576943234932,0.0,0.9901138924557774,0.0,0.1280709110927468,0.0,0.9977161480127232,0.0,-0.1465115672972214,0.0,0.9977161480127232,0.0,0.16701588633533898,0.0,-0.12462122236950113,0.0,0.06845247812152601,0.0,0.955719005148417,0.0,0.9966031119877274,0.0,0.07397260273972603,0.0,0.011874652068818565,0.0,0.8266490771591871,0.0,0.6074698206868792,0.0,0.9068493150684932,0.0,0.034226239060763004,0.0,0.7484784990220685,0.0
LightGBM,per_station,V3,p3,1,test,1,730,-0.022105720783711928,0.0,0.9925607059915711,0.0,0.14612175885548173,0.0,0.9969260291287814,0.0,-0.12872564970054248,0.0,0.9969260291287814,0.0,0.18775805597889422,0.0,-0.18327927106642594,0.0,0.07983538294826352,0.0,0.7486113848890528,0.0,0.9791320598006644,0.0,0.057534246575342465,0.0,0.028347200288505223,0.0,0.4772209636812762,0.0,0.6567666264588635,0.0,0.8712328767123287,0.0,0.03991769147413176,0.0,0.8855192644201215,0.0
LightGBM,per_station,V3,p3,1,val,1,731,-0.0010600678856268215,0.0,0.9915135915509745,0.0,0.1422641058034878,0.0,0.9966527606397931,0.0,-0.006067633616208394,0.0,0.9966527606397931,0.0,0.18524201386963357,0.0,-0.08698408439479266,0.0,0.07912386688431466,0.0,0.9483515792723254,0.0,0.995308015014352,0.0,0.11491108071135431,0.0,0.015947346952139316,0.0,0.8432023208837799,0.0,0.6020134638811828,0.0,0.8440492476060192,0.0,0.03956193344215733,0.0,0.8897722561789085,0.0
LightGBM,per_station,V3,p3,3,calib,1,365,-0.036093327533665405,0.0,0.978298970895315,0.0,0.24061201221601647,0.0,0.9920138655420672,0.0,-0.2148342283322114,0.0,0.9920138655420672,0.0,0.3129155355781953,0.0,-0.002378228074509936,0.0,0.1290390761981794,0.0,0.7493308767703188,0.0,0.9804952881875958,0.0,0.07397260273972603,0.0,0.02985169062615935,0.0,0.5642130743357417,0.0,1.003764363262925,0.0,0.9068493150684932,0.0,0.0645195380990897,0.0,1.2709420440895298,0.0
LightGBM,per_station,V3,p3,3,test,1,728,-0.05363772050505997,0.0,0.9870565876463108,0.0,0.27952205516121936,0.0,0.9889395515926519,0.0,-0.3121014477011657,0.0,0.9889395515926519,0.0,0.3556455816634233,0.0,-0.10318904069394685,0.0,0.14976012124890187,0.0,0.5127292399286638,0.0,0.9491184228793559,0.0,0.057692307692307696,0.0,0.04467818217038124,0.0,0.17816459464973733,0.0,1.059208059839538,0.0,0.8228021978021978,0.0,0.07488006062445093,0.0,1.6635668479880006,0.0
LightGBM,per_station,V3,p3,3,val,1,731,0.0015096998054539212,0.0,0.9700943628847479,0.0,0.2740363157988125,0.0,0.9882405066656277,0.0,0.008642597482902735,0.0,0.9882405066656277,0.0,0.3475336037650981,0.0,-0.042037892248463216,0.0,0.15653248338499584,0.0,0.7960774286226672,0.0,0.9779752704791345,0.0,0.11491108071135431,0.0,0.03951856880815117,0.0,0.6114450955566932,0.0,1.0124634350033606,0.0,0.7674418604651163,0.0,0.07826624169249792,0.0,1.8508524092140441,0.0
LightGBM,per_station,V3,p3,7,calib,1,365,0.00044237752176575726,0.0,0.9649016840597169,0.0,0.41925887328690203,0.0,0.9766283851371261,0.0,0.002634918332971628,0.0,0.9766283851371261,0.0,0.5373617560125007,0.0,0.08703575380325368,0.0,0.23177838696990527,0.0,0.7756962586894762,0.0,0.9708525093140478,0.0,0.07397260273972603,0.0,0.03369429939486326,0.0,0.5081171338138148,0.0,2.120126744404604,0.0,0.9068493150684932,0.0,0.11588919348495264,0.0,2.592445784161662,0.0
