horizon,site,rmse_persist,rmse_damped,rmse_thermo
3,n31,1.3120932011787436,1.1854137012903287,1.1047132397601231
3,n32,1.3202889823796256,1.2758341774123654,1.2320725172974023
3,n33,0.8439956160466884,0.7714589672123081,0.7284350806293437
3,n34,,,
3,n35,1.9593274573716308,1.6226285372175062,1.54193009873712
3,n36,,,
3,n37,2.128442348771594,1.9369268294668904,1.683713975573108
3,n38,0.7617793059043187,0.6379205683493465,0.5628031258626552
3,n39,,,
7,n00,1.7959563712999658,1.425389853374689,1.5207707402732296
7,n01,2.654311345340966,1.956093027802835,1.8741233882125123
7,n02,2.8329898269613345,2.098386473422672,2.0779720960657824
7,n03,2.036663258854206,1.558855605738991,1.549181708571266
7,n04,2.28505036234982,1.716846173573305,1.651975336615329
7,n05,2.2736930900870824,1.6874010991870698,1.6926246630569395
7,n06,0.9640284391187209,0.8050955143515706,0.7689351808940017
7,n07,2.177218192223662,1.5994019099699412,1.6189679918204414
7,n08,1.8371036041433193,1.3422846504413708,1.28408004639258
7,n09,2.2331966111051225,1.7831748775122545,1.6766672770611224
7,n10,2.092532852031743,1.6219597815489433,1.5698031490322848
7,n11,2.1308053910215987,1.6924827567237872,1.4892091802662355
7,n12,1.7648736554879771,1.4710313684220921,1.3987676074552575
7,n13,3.577914772764689,2.607865975990702,2.5958954285493365
7,n14,1.4244219550420816,1.262085269645359,1.25225204221502
7,n15,0.9639516540284525,0.638202870489687,0.5824852124517997
7,n16,1.92821804016671,1.521646233037296,1.481854174358799
7,n17,1.7232740128440653,1.3206348926154168,1.1865503867331735
7,n18,1.342542195411694,1.0422764907369484,1.0159724294618453
7,n19,1.6914589347725126,1.545327289310936,1.502912384283912
7,n20,1.2259696583492148,0.8299710862569043,0.7775515027982575
7,n21,0.9466755331893486,0.7972249812409469,0.7464563722443118
7,n22,2.9465513526233855,2.235144936341811,2.141561882391953
7,n23,2.0423309497071886,1.601674336498433,1.5612994316509952
7,n24,1.478384993525037,1.1459889284049865,1.1415702582583047
7,n25,2.0252037758419963,1.5276244715975964,1.490781584470809
7,n26,2.8462987124154764,2.2288190209209215,2.1532480280661166
7,n27,1.4863726575781262,1.0934814202552983,1.0943482149981374
7,n28,,,
7,n29,1.1871111727639212,0.6973216671789161,0.6976315694010036
7,n30,1.9750935311807176,1.4486350852832321,1.360279476099561
7,n31,1.7898774130236337,1.4487086125009954,1.37491295562026
7,n32,2.0925875278696977,1.9309795742603757,1.8563974524125104
7,n33,1.0708875009002385,0.8971951737416118,0.8301539813066794
7,n34,,,
7,n35,2.305437356328544,1.6756317979911164,1.6400636691856434
7,n36,,,
7,n37,2.8013032320002873,2.298388945338231,2.221808175669193
7,n38,1.462575902724529,1.0904038790846284,0.9691235269111143
7,n39,,,
