model,horizon,baseline,skill,station_rmse,baseline_station_rmse
LightGBM-ext,7,Climatology,0.03513441269056278,1.7838580667674475,1.9032724667255008
Persistence,1,DampedPersistence,-0.03621663900022798,0.813173271645506,0.7893397408576391
Persistence,1,Climatology,0.5802898633923648,0.813173271645506,1.8991719069182085
Persistence,3,DampedPersistence,-0.1231957994083075,1.6375577264367185,1.4538841678832246
Persistence,3,Climatology,0.12560741755055504,1.6375577264367185,1.9016346963047797
Persistence,7,DampedPersistence,-0.2779828875876621,2.201650788662053,1.7728121291136714
Persistence,7,Climatology,-0.22098345519057383,2.201650788662053,1.9032724667255008
TR-fixedKappa,1,Persistence,0.20889349001395252,0.6351282403347654,0.813173271645506
TR-fixedKappa,1,DampedPersistence,0.17992131981669562,0.6351282403347654,0.7893397408576391
TR-fixedKappa,1,Climatology,0.6817334377184123,0.6351282403347654,1.8991719069182085
TR-fixedKappa,3,Persistence,0.18707505393349738,1.3325445240120337,1.6375577264367185
TR-fixedKappa,3,DampedPersistence,0.07514650088670305,1.3325445240120337,1.4538841678832246
TR-fixedKappa,3,Climatology,0.2802747367589035,1.3325445240120337,1.9016346963047797
TR-fixedKappa,7,Persistence,0.2501753148903834,1.6954630034577538,2.201650788662053
TR-fixedKappa,7,DampedPersistence,0.04126857367164227,1.6954630034577538,1.7728121291136714
TR-fixedKappa,7,Climatology,0.08594390209928204,1.6954630034577538,1.9032724667255008
TR-noDynamicPrior,1,Persistence,0.21242013849860453,0.634327737877413,0.813173271645506
TR-noDynamicPrior,1,DampedPersistence,0.18086987844873303,0.634327737877413,0.7893397408576391
TR-noDynamicPrior,1,Climatology,0.6809557476205248,0.634327737877413,1.8991719069182085
TR-noDynamicPrior,3,Persistence,0.1888870065655412,1.3274668652659967,1.6375577264367185
TR-noDynamicPrior,3,DampedPersistence,0.07692228046288602,1.3274668652659967,1.4538841678832246
TR-noDynamicPrior,3,Climatology,0.2752265168593947,1.3274668652659967,1.9016346963047797
TR-noDynamicPrior,7,Persistence,0.24769573049528848,1.7019978545998067,2.201650788662053
TR-noDynamicPrior,7,DampedPersistence,0.03804788103219092,1.7019978545998067,1.7728121291136714
TR-noDynamicPrior,7,Climatology,0.0821196214462272,1.7019978545998067,1.9032724667255008
TR-noMoE,1,Persistence,0.19895714073445214,0.6428758097300428,0.813173271645506
TR-noMoE,1,DampedPersistence,0.1686657832462753,0.6428758097300428,0.7893397408576391
TR-noMoE,1,Climatology,0.6737981530853699,0.6428758097300428,1.8991719069182085
TR-noMoE,3,Persistence,0.1815162522910153,1.3452857979926303,1.6375577264367185
TR-noMoE,3,DampedPersistence,0.07360586778654826,1.3452857979926303,1.4538841678832246
TR-noMoE,3,Climatology,0.2828441364189753,1.3452857979926303,1.9016346963047797
TR-noMoE,7,Persistence,0.2503783514993908,1.698205668542172,2.201650788662053
TR-noMoE,7,DampedPersistence,0.0363027280722521,1.698205668542172,1.7728121291136714
TR-noMoE,7,Climatology,0.0873318366487521,1.698205668542172,1.9032724667255008
TR-noRouter,1,Persistence,0.20181236117595353,0.6423972680214762,0.813173271645506
TR-noRouter,1,DampedPersistence,0.1722314082298499,0.6423972680214762,0.7893397408576391
TR-noRouter,1,Climatology,0.6712637603371612,0.6423972680214762,1.8991719069182085
TR-noRouter,3,Persistence,0.17970644188617557,1.3415083771626608,1.6375577264367185
TR-noRouter,3,DampedPersistence,0.07247756474029127,1.3415083771626608,1.4538841678832246
TR-noRouter,3,Climatology,0.2770166415193884,1.3415083771626608,1.9016346963047797
TR-noRouter,7,Persistence,0.24977595342717118,1.694414541864623,2.201650788662053
TR-noRouter,7,DampedPersistence,0.03810368841562772,1.694414541864623,1.7728121291136714
TR-noRouter,7,Climatology,0.08798269198068004,1.694414541864623,1.9032724667255008
TR-noTCN,1,Persistence,0.17594865635421159,0.6670761140856203,0.813173271645506
TR-noTCN,1,DampedPersistence,0.1411409110012105,0.6670761140856203,0.7893397408576391
TR-noTCN,1,Climatology,0.6552979926087241,0.6670761140856203,1.8991719069182085
TR-noTCN,3,Persistence,0.16725416731868753,1.356835790801255,1.6375577264367185
TR-noTCN,3,DampedPersistence,0.0577180704988558,1.356835790801255,1.4538841678832246
TR-noTCN,3,Climatology,0.25722220778981003,1.356835790801255,1.9016346963047797
TR-noTCN,7,Persistence,0.2404039571871539,1.7325862904384146,2.201650788662053
TR-noTCN,7,DampedPersistence,0.030455924689008984,1.7325862904384146,1.7728121291136714
TR-noTCN,7,Climatology,0.07639946767618594,1.7325862904384146,1.9032724667255008
