candidate,reference,horizon,site_id,effect
DampedPriorOnly,Persistence,3,07106000,-0.4140471887439672
DampedPriorOnly,Persistence,3,07178200,-0.1468417305584513
DampedPriorOnly,Persistence,3,07194880,-0.1997707817159735
DampedPriorOnly,Persistence,3,07332622,-0.30775163029006025
DampedPriorOnly,Persistence,3,08048000,-0.14126062600408362
DampedPriorOnly,Persistence,3,08052700,-0.4350744334486376
DampedPriorOnly,Persistence,3,08065350,-0.12042253667558
DampedPriorOnly,Persistence,3,08070200,-0.1707070392500052
DampedPriorOnly,Persistence,3,08123850,-0.3708402386614349
DampedPriorOnly,Persistence,3,09136100,-0.13800398716637785
DampedPriorOnly,Persistence,3,09144250,-0.12306831134767227
DampedPriorOnly,Persistence,3,09149500,-0.20434587130499082
DampedPriorOnly,Persistence,3,09163500,-0.13351842573817518
DampedPriorOnly,Persistence,3,09180000,-0.16878312247811422
DampedPriorOnly,Persistence,3,09261000,-0.1561370386783345
DampedPriorOnly,Persistence,3,09302000,-0.1567457581348335
DampedPriorOnly,Persistence,3,09380000,0.04866075993981145
DampedPriorOnly,Persistence,3,10129900,-0.13199654172789788
DampedPriorOnly,Persistence,3,10301500,-0.23694571811914478
DampedPriorOnly,Persistence,3,10351600,-0.15414288486985672
DampedPriorOnly,Persistence,3,11262900,-0.22800582672813152
DampedPriorOnly,Persistence,3,11467000,-0.09235427062307378
DampedPriorOnly,Persistence,3,11507500,-0.14008244325168273
DampedPriorOnly,Persistence,3,12056500,-0.060023904475707046
DampedPriorOnly,Persistence,3,12115000,-0.04595428427968873
DampedPriorOnly,Persistence,3,12117600,-0.05602177437303202
DampedPriorOnly,Persistence,3,12210700,-0.12536443720317902
DampedPriorOnly,Persistence,3,12212050,-0.09996826507091883
DampedPriorOnly,Persistence,3,12213100,-0.1404358050288872
DampedPriorOnly,Persistence,3,12363000,-0.08844920326893213
DampedPriorOnly,Persistence,3,12398600,-0.13105536887260594
DampedPriorOnly,Persistence,3,13018350,-0.23107760917774378
DampedPriorOnly,Persistence,3,13154500,-0.053900650857579446
DampedPriorOnly,Persistence,3,13317660,-0.12143582233925698
DampedPriorOnly,Persistence,3,13342500,-0.08934843593795183
DampedPriorOnly,Persistence,3,14091500,-0.133538220603013
DampedPriorOnly,Persistence,3,14150800,-0.13633556225403098
DampedPriorOnly,Persistence,3,14151000,-0.03997718836858777
DampedPriorOnly,Persistence,3,14152000,-0.049062567307383786
DampedPriorOnly,Persistence,3,14153500,-0.05598537096151068
DampedPriorOnly,Persistence,3,14154500,-0.10748838464187083
DampedPriorOnly,Persistence,3,14159500,-0.04686295672946372
DampedPriorOnly,Persistence,3,14161500,-0.0784262913390188
DampedPriorOnly,Persistence,3,14179000,-0.07627676652491444
DampedPriorOnly,Persistence,3,14185000,-0.11439344577243271
DampedPriorOnly,Persistence,3,14210000,-0.06992135319253157
DampedPriorOnly,Persistence,3,14211499,-0.1729981224192938
DampedPriorOnly,Persistence,3,14211500,-0.18306519502236074
DampedPriorOnly,Persistence,3,14320934,-0.08525074582740721
DampedPriorOnly,Persistence,3,255534081324000,-0.2759147438325218
DampedPriorOnly,Persistence,7,01073319,-0.6863765945779494
DampedPriorOnly,Persistence,7,01104415,-0.48925837625899504
DampedPriorOnly,Persistence,7,01104455,-0.3233101369028284
DampedPriorOnly,Persistence,7,01104475,-0.33417999194236114
DampedPriorOnly,Persistence,7,01129500,-0.6081207077597544
DampedPriorOnly,Persistence,7,01400500,-0.6744257274926682
DampedPriorOnly,Persistence,7,01408029,-0.6364748811942547
DampedPriorOnly,Persistence,7,01425000,-0.1613701242339618
DampedPriorOnly,Persistence,7,01426500,-0.27198991452572785
DampedPriorOnly,Persistence,7,01427207,-0.5989215188544883
DampedPriorOnly,Persistence,7,01428500,-0.5943583142878945
DampedPriorOnly,Persistence,7,01463500,-0.5077910911552153
DampedPriorOnly,Persistence,7,01480617,-0.5979439352408353
DampedPriorOnly,Persistence,7,01540500,-0.5502866967501008
DampedPriorOnly,Persistence,7,01542500,-0.6737060612631058
DampedPriorOnly,Persistence,7,01549700,-0.6658905351425557
DampedPriorOnly,Persistence,7,02110701,-0.6800383947902309
DampedPriorOnly,Persistence,7,02176930,-0.5289475257118892
DampedPriorOnly,Persistence,7,02266300,-0.3899077030029845
DampedPriorOnly,Persistence,7,02330450,-0.5374139154239514
DampedPriorOnly,Persistence,7,02334430,0.22209245875236255
DampedPriorOnly,Persistence,7,02334885,-0.5649991958709402
DampedPriorOnly,Persistence,7,02336120,-0.6394071919953781
DampedPriorOnly,Persistence,7,02336300,-0.6564647839188393
DampedPriorOnly,Persistence,7,02336728,0.5841510605327696
DampedPriorOnly,Persistence,7,02397000,-0.411857272567945
DampedPriorOnly,Persistence,7,02455980,-0.5266879165224378
DampedPriorOnly,Persistence,7,02458450,-0.5092287572190792
DampedPriorOnly,Persistence,7,02474560,-0.4849813016582263
DampedPriorOnly,Persistence,7,03007800,-0.6320411402138326
DampedPriorOnly,Persistence,7,03034000,-0.6389277374533182
DampedPriorOnly,Persistence,7,03036000,-0.43140062153646186
DampedPriorOnly,Persistence,7,03047000,-0.4584207081856888
DampedPriorOnly,Persistence,7,03077500,-0.3674151676938161
DampedPriorOnly,Persistence,7,03105500,-0.5734047130466
DampedPriorOnly,Persistence,7,03106000,-0.7489239755751145
DampedPriorOnly,Persistence,7,03301900,-0.5334651727129889
DampedPriorOnly,Persistence,7,03353200,-0.7279205328040823
DampedPriorOnly,Persistence,7,03456991,-0.545561579126189
DampedPriorOnly,Persistence,7,04027000,-0.7006194064458731
DampedPriorOnly,Persistence,7,04043238,-0.6314513823820875
DampedPriorOnly,Persistence,7,04043244,-0.5866770154180343
DampedPriorOnly,Persistence,7,04067500,-0.5702306256958622
DampedPriorOnly,Persistence,7,04077630,-0.6987443931285722
DampedPriorOnly,Persistence,7,04124200,-0.4141898831611234
DampedPriorOnly,Persistence,7,04125460,-0.5148522399853646
DampedPriorOnly,Persistence,7,04137005,-0.4202555214009607
DampedPriorOnly,Persistence,7,04176500,-0.52557998312172
DampedPriorOnly,Persistence,7,04208000,-0.6824574489696764
DampedPriorOnly,Persistence,7,05054000,-0.5673536060199984
DampedPriorOnly,Persistence,7,05057000,-0.6584658368752883
DampedPriorOnly,Persistence,7,05289800,-0.63796479508673
DampedPriorOnly,Persistence,7,05331833,-0.6053077608912716
