model,horizon,bin_low,bin_high,mean_forecast,observed_rate,n
TR-noMoE,7,0.2,0.30000000000000004,0.2496593679661387,0.27502553626149134,3916
TR-noMoE,7,0.30000000000000004,0.4,0.35007534041189076,0.3729964683509916,3681
TR-noMoE,7,0.4,0.5,0.4500082514968879,0.491709703723838,3679
TR-noMoE,7,0.5,0.6000000000000001,0.5490362610843563,0.556674338319908,3476
TR-noMoE,7,0.6000000000000001,0.7000000000000001,0.6487194170236098,0.6352827763496144,3112
TR-noMoE,7,0.7000000000000001,0.8,0.7481161147012886,0.7665369649805448,2570
TR-noMoE,7,0.8,0.9,0.8506528925695216,0.8569023569023569,2376
TR-noMoE,7,0.9,1.0,0.9463566911331747,0.9663177059626764,2197
TR-noRouter,1,0.0,0.1,0.0033277117647376067,0.003904139611217011,98101
TR-noRouter,1,0.1,0.2,0.14567386843158125,0.1718555417185554,2409
TR-noRouter,1,0.2,0.30000000000000004,0.24626397040699938,0.267512077294686,1656
TR-noRouter,1,0.30000000000000004,0.4,0.34841628611859327,0.3632842757552285,1291
TR-noRouter,1,0.4,0.5,0.4491082579099736,0.5028665028665029,1221
TR-noRouter,1,0.5,0.6000000000000001,0.5495342813038312,0.5794392523364486,1284
TR-noRouter,1,0.6000000000000001,0.7000000000000001,0.6506651017566718,0.6710914454277286,1356
TR-noRouter,1,0.7000000000000001,0.8,0.7522778825996154,0.7599754450583179,1629
TR-noRouter,1,0.8,0.9,0.8534728950705486,0.8501118568232662,2235
TR-noRouter,1,0.9,1.0,0.974009999943904,0.96984058595433,9284
TR-noRouter,3,0.0,0.1,0.005648435779761767,0.006042393692645728,92844
TR-noRouter,3,0.1,0.2,0.14600776315239566,0.17055008407398511,4163
TR-noRouter,3,0.2,0.30000000000000004,0.24813404228140057,0.2764540995094604,2854
TR-noRouter,3,0.30000000000000004,0.4,0.348261818278029,0.37031060911657926,2479
TR-noRouter,3,0.4,0.5,0.4491354827469157,0.48656591099916036,2382
TR-noRouter,3,0.5,0.6000000000000001,0.5507408821244859,0.5919965202261853,2299
TR-noRouter,3,0.6000000000000001,0.7000000000000001,0.6500516774390612,0.6716729244889446,2397
TR-noRouter,3,0.7000000000000001,0.8,0.7503733416585872,0.7517058377558756,2638
TR-noRouter,3,0.8,0.9,0.8519595267325963,0.8455439264192832,3153
TR-noRouter,3,0.9,1.0,0.9529594078869422,0.9590551181102362,4445
TR-noRouter,7,0.0,0.1,0.006970490755008337,0.008276714021000617,89045
TR-noRouter,7,0.1,0.2,0.14622250399568656,0.16167066346922462,5004
TR-noRouter,7,0.2,0.30000000000000004,0.24845775466844316,0.25855028075548747,3918
TR-noRouter,7,0.30000000000000004,0.4,0.3496169477736215,0.370939161252215,3386
TR-noRouter,7,0.4,0.5,0.45019209406426347,0.4834735576923077,3328
TR-noRouter,7,0.5,0.6000000000000001,0.5509925082023256,0.5694488188976378,3175
TR-noRouter,7,0.6000000000000001,0.7000000000000001,0.6505034749590859,0.6668810289389068,3110
TR-noRouter,7,0.7000000000000001,0.8,0.749472060829059,0.7644230769230769,3120
TR-noRouter,7,0.8,0.9,0.8506140364638284,0.8951255539143279,2708
TR-noRouter,7,0.9,1.0,0.939990378616366,0.9635499207606973,1893
TR-noTCN,1,0.0,0.1,0.00401325034590895,0.006026617560893948,95576
TR-noTCN,1,0.1,0.2,0.1455475871722327,0.1673529411764706,3400
TR-noTCN,1,0.2,0.30000000000000004,0.24778487191998258,0.2789115646258503,2352
TR-noTCN,1,0.30000000000000004,0.4,0.3489228541394778,0.37191358024691357,1944
TR-noTCN,1,0.4,0.5,0.44973522838305974,0.45874587458745875,1818
TR-noTCN,1,0.5,0.6000000000000001,0.5508116524146514,0.5358577165806081,1743
TR-noTCN,1,0.6000000000000001,0.7000000000000001,0.6509175156885509,0.6529345372460497,1772
TR-noTCN,1,0.7000000000000001,0.8,0.7531640487039625,0.7925925925925926,2565
TR-noTCN,1,0.8,0.9,0.8541134247875267,0.8508140855736464,2641
TR-noTCN,1,0.9,1.0,0.9634131096641455,0.9601803155522164,6655
TR-noTCN,3,0.0,0.1,0.005497043630593436,0.006635809239678849,91172
TR-noTCN,3,0.1,0.2,0.14737790416443264,0.15733506944444445,4608
TR-noTCN,3,0.2,0.30000000000000004,0.2476797351484369,0.2707895526868808,3331
TR-noTCN,3,0.30000000000000004,0.4,0.3485460967144595,0.3629407850964737,3006
TR-noTCN,3,0.4,0.5,0.4497292822358575,0.45496618013527945,2809
TR-noTCN,3,0.5,0.6000000000000001,0.5487975165630491,0.5513016845329249,2612
TR-noTCN,3,0.6000000000000001,0.7000000000000001,0.6505928174799078,0.6586556515208412,2663
TR-noTCN,3,0.7000000000000001,0.8,0.7511716639830979,0.758406432748538,2736
TR-noTCN,3,0.8,0.9,0.8522079376490722,0.8612967914438503,2992
TR-noTCN,3,0.9,1.0,0.9494440895867272,0.9591946308724832,3725
TR-noTCN,7,0.0,0.1,0.006997149887882345,0.00854543572521191,86947
TR-noTCN,7,0.1,0.2,0.14660416854840902,0.1541023842917251,5704
TR-noTCN,7,0.2,0.30000000000000004,0.24935535173441178,0.24972326765552358,4517
TR-noTCN,7,0.30000000000000004,0.4,0.35018128636056356,0.36404382470119523,4016
TR-noTCN,7,0.4,0.5,0.4497755287428785,0.4453419493807216,3714
TR-noTCN,7,0.5,0.6000000000000001,0.5486060153748263,0.547887323943662,3550
TR-noTCN,7,0.6000000000000001,0.7000000000000001,0.6498091538539892,0.65141065830721,3190
TR-noTCN,7,0.7000000000000001,0.8,0.7483991507657796,0.7630536550234066,2777
TR-noTCN,7,0.8,0.9,0.8487893562036964,0.8760162601626016,2460
