model,horizon,baseline,skill,station_rmse,baseline_station_rmse
TR-noDynamicPrior,7,DampedPersistence,0.03994460177191406,1.7019978545998067,1.7728121291136714
TR-noDynamicPrior,7,Climatology,0.1057518645619765,1.7019978545998067,1.9032724667255008
TR-noMoE,1,Persistence,0.2094233392237006,0.6428758097300428,0.813173271645506
TR-noMoE,1,DampedPersistence,0.18555246055197894,0.6428758097300428,0.7893397408576391
TR-noMoE,1,Climatology,0.6614967779440044,0.6428758097300428,1.8991719069182085
TR-noMoE,3,Persistence,0.17848038192831472,1.3452857979926303,1.6375577264367185
TR-noMoE,3,DampedPersistence,0.07469533838359876,1.3452857979926303,1.4538841678832246
TR-noMoE,3,Climatology,0.29256349781229596,1.3452857979926303,1.9016346963047797
TR-noMoE,7,Persistence,0.22866710865887385,1.698205668542172,2.201650788662053
TR-noMoE,7,DampedPersistence,0.042083681257753636,1.698205668542172,1.7728121291136714
TR-noMoE,7,Climatology,0.10774432025286296,1.698205668542172,1.9032724667255008
TR-noRouter,1,Persistence,0.21001182598937873,0.6423972680214762,0.813173271645506
TR-noRouter,1,DampedPersistence,0.18615871624112823,0.6423972680214762,0.7893397408576391
TR-noRouter,1,Climatology,0.6617487518210523,0.6423972680214762,1.8991719069182085
TR-noRouter,3,Persistence,0.18078712249018125,1.3415083771626608,1.6375577264367185
TR-noRouter,3,DampedPersistence,0.07729349641668959,1.3415083771626608,1.4538841678832246
TR-noRouter,3,Climatology,0.29454990500044287,1.3415083771626608,1.9016346963047797
TR-noRouter,7,Persistence,0.2303890559799805,1.694414541864623,2.201650788662053
TR-noRouter,7,DampedPersistence,0.044222163173174844,1.694414541864623,1.7728121291136714
TR-noRouter,7,Climatology,0.1097362193339606,1.694414541864623,1.9032724667255008
TR-noTCN,1,Persistence,0.17966300990716177,0.6670761140856203,0.813173271645506
TR-noTCN,1,DampedPersistence,0.15489354006067924,0.6670761140856203,0.7893397408576391
TR-noTCN,1,Climatology,0.6487542219555645,0.6670761140856203,1.8991719069182085
TR-noTCN,3,Persistence,0.17142719984980737,1.356835790801255,1.6375577264367185
TR-noTCN,3,DampedPersistence,0.06675110660518901,1.356835790801255,1.4538841678832246
TR-noTCN,3,Climatology,0.2864897798521281,1.356835790801255,1.9016346963047797
TR-noTCN,7,Persistence,0.2130512707279476,1.7325862904384146,2.201650788662053
TR-noTCN,7,DampedPersistence,0.022690412601908294,1.7325862904384146,1.7728121291136714
TR-noTCN,7,Climatology,0.08968036856054795,1.7325862904384146,1.9032724667255008
TR-unbounded,1,Persistence,0.2199972899691458,0.6342773556081507,0.813173271645506
TR-unbounded,1,DampedPersistence,0.1964456839345362,0.6342773556081507,0.7893397408576391
TR-unbounded,1,Climatology,0.6660242533613535,0.6342773556081507,1.8991719069182085
TR-unbounded,3,Persistence,0.18624625879245693,1.332568726331198,1.6375577264367185
TR-unbounded,3,DampedPersistence,0.08344230182288537,1.332568726331198,1.4538841678832246
TR-unbounded,3,Climatology,0.2992509397727018,1.332568726331198,1.9016346963047797
TR-unbounded,7,Persistence,0.230295053648071,1.6946215021728075,2.201650788662053
TR-unbounded,7,DampedPersistence,0.04410542192079636,1.6946215021728075,1.7728121291136714
TR-unbounded,7,Climatology,0.10962748014301305,1.6946215021728075,1.9032724667255008
ThermoRoute,1,Persistence,0.21334595026650027,0.6396860472749766,0.813173271645506
ThermoRoute,1,DampedPersistence,0.18959351193956075,0.6396860472749766,0.7893397408576391
ThermoRoute,1,Climatology,0.6631763323031684,0.6396860472749766,1.8991719069182085
ThermoRoute,3,Persistence,0.1834619604321538,1.3371281756238176,1.6375577264367185
ThermoRoute,3,DampedPersistence,0.08030625467873231,1.3371281756238176,1.4538841678832246
ThermoRoute,3,Climatology,0.296853292474049,1.3371281756238176,1.9016346963047797
